,gender,age,time,distance,year,time_seconds
633,F,53,1:39:36,15K,2016,5976
634,M,48,1:39:37,15K,2016,5977
635,M,48,1:39:56,15K,2016,5996
636,F,40,1:39:58,15K,2016,5998
637,M,41,1:40:00,15K,2016,6000
638,F,55,1:40:04,15K,2016,6004
639,F,64,1:40:15,15K,2016,6015
640,M,36,1:40:18,15K,2016,6018
641,M,60,1:40:28,15K,2016,6028
642,F,37,1:40:39,15K,2016,6039
643,M,37,1:40:43,15K,2016,6043
644,F,42,1:40:44,15K,2016,6044
645,F,55,1:40:50,15K,2016,6050
646,F,35,1:40:54,15K,2016,6054
647,F,49,1:40:57,15K,2016,6057
648,F,42,1:41:07,15K,2016,6067
649,F,36,1:41:07,15K,2016,6067
650,M,30,1:41:09,15K,2016,6069
651,F,34,1:41:27,15K,2016,6087
652,F,54,1:41:27,15K,2016,6087
653,M,55,1:41:28,15K,2016,6088
654,F,15,1:41:31,15K,2016,6091
655,F,32,1:41:43,15K,2016,6103
656,F,22,1:42:01,15K,2016,6121
657,M,25,1:42:01,15K,2016,6121
658,F,35,1:42:12,15K,2016,6132
659,M,54,1:42:14,15K,2016,6134
660,F,55,1:42:15,15K,2016,6135
661,M,49,1:42:31,15K,2016,6151
662,F,58,1:42:35,15K,2016,6155
663,F,31,1:42:36,15K,2016,6156
664,M,29,1:42:37,15K,2016,6157
