,gender,age,time,year,time_seconds
1051,M,57,1:23:56,2018,5036
1052,M,59,1:24:00,2018,5040
1053,M,65,1:24:03,2018,5043
1054,F,52,1:24:06,2018,5046
1055,M,36,1:24:16,2018,5056
1056,F,40,1:24:20,2018,5060
1057,F,35,1:24:25,2018,5065
1058,M,44,1:24:28,2018,5068
1059,M,61,1:24:34,2018,5074
1060,F,36,1:24:34,2018,5074
1061,M,38,1:24:39,2018,5079
1062,M,43,1:24:42,2018,5082
1063,F,39,1:24:44,2018,5084
1064,F,42,1:24:46,2018,5086
1065,F,51,1:24:48,2018,5088
1066,M,28,1:24:50,2018,5090
1067,M,36,1:24:51,2018,5091
1068,F,51,1:25:04,2018,5104
1069,M,31,1:25:08,2018,5108
1070,F,30,1:25:09,2018,5109
1071,M,38,1:25:10,2018,5110
1072,F,24,1:25:15,2018,5115
1073,M,54,1:25:21,2018,5121
1074,M,37,1:25:22,2018,5122
1075,F,36,1:25:24,2018,5124
1076,M,36,1:25:26,2018,5126
1077,F,35,1:25:28,2018,5128
1078,M,23,1:25:33,2018,5133
1079,M,40,1:25:40,2018,5140
1080,F,26,1:25:43,2018,5143
1081,M,45,1:25:43,2018,5143
1082,M,39,1:25:49,2018,5149
1083,F,42,1:25:50,2018,5150
1084,F,34,1:25:51,2018,5151
1085,M,52,1:25:51,2018,5151
1086,M,59,1:25:51,2018,5151
1087,F,49,1:26:02,2018,5162
1088,M,56,1:26:04,2018,5164
1089,F,39,1:26:04,2018,5164
1090,F,18,1:26:09,2018,5169
1091,F,50,1:26:13,2018,5173
1092,M,28,1:26:17,2018,5177
1093,M,54,1:26:18,2018,5178
1094,M,32,1:26:19,2018,5179
1095,F,18,1:26:25,2018,5185
1096,F,34,1:26:26,2018,5186
1097,F,38,1:26:27,2018,5187
1098,F,35,1:26:27,2018,5187
1099,F,26,1:26:31,2018,5191
1100,F,28,1:26:35,2018,5195
1101,M,51,1:26:36,2018,5196
1102,M,31,1:26:38,2018,5198
1103,F,23,1:26:41,2018,5201
1104,M,19,1:26:41,2018,5201
1105,M,64,1:26:42,2018,5202
1106,M,45,1:26:44,2018,5204
1107,M,26,1:26:45,2018,5205
1108,M,40,1:26:52,2018,5212
1109,F,35,1:26:55,2018,5215
1110,M,51,1:26:57,2018,5217
1111,M,57,1:27:12,2018,5232
1112,M,27,1:27:17,2018,5237
1113,M,47,1:27:22,2018,5242
1114,F,34,1:27:26,2018,5246
1115,M,28,1:27:34,2018,5254
1116,F,35,1:27:35,2018,5255
1117,M,32,1:27:36,2018,5256
1118,F,47,1:27:39,2018,5259
1119,M,47,1:27:44,2018,5264
1120,M,54,1:27:44,2018,5264
1121,F,36,1:27:45,2018,5265
1122,M,28,1:27:52,2018,5272
1123,F,29,1:27:52,2018,5272
1124,F,16,1:27:55,2018,5275
1125,F,43,1:27:57,2018,5277
1126,F,50,1:28:00,2018,5280
1127,F,45,1:28:03,2018,5283
1128,F,33,1:28:10,2018,5290
1129,F,15,1:28:11,2018,5291
1130,F,38,1:28:13,2018,5293
1131,M,35,1:28:13,2018,5293
1132,M,31,1:28:15,2018,5295
1133,F,51,1:28:17,2018,5297
1134,F,59,1:28:17,2018,5297
1135,M,36,1:28:18,2018,5298
1136,M,47,1:28:19,2018,5299
1137,M,32,1:28:22,2018,5302
1138,M,46,1:28:24,2018,5304
1139,M,63,1:28:27,2018,5307
1140,F,21,1:28:29,2018,5309
1141,F,31,1:28:31,2018,5311
1142,M,51,1:28:32,2018,5312
1143,F,41,1:28:32,2018,5312
1144,F,58,1:28:34,2018,5314
1145,M,35,1:28:35,2018,5315
1146,M,54,1:28:36,2018,5316
1147,M,34,1:28:37,2018,5317
1148,M,35,1:28:44,2018,5324
1149,M,50,1:28:45,2018,5325
1150,F,63,1:28:51,2018,5331
1151,M,48,1:28:54,2018,5334
1152,M,68,1:28:54,2018,5334
1153,M,30,1:28:58,2018,5338
1154,F,38,1:29:01,2018,5341
1155,M,63,1:29:04,2018,5344
1156,M,40,1:29:06,2018,5346
1157,F,62,1:29:13,2018,5353
1158,F,36,1:29:15,2018,5355
1159,F,60,1:29:16,2018,5356
1160,M,42,1:29:16,2018,5356
1161,F,22,1:29:27,2018,5367
1162,M,39,1:29:32,2018,5372
1163,F,51,1:29:54,2018,5394
1164,F,65,1:30:06,2018,5406
1165,F,48,1:30:07,2018,5407
1166,F,46,1:30:08,2018,5408
1167,M,36,1:30:09,2018,5409
1168,F,29,1:30:13,2018,5413
1169,M,41,1:30:19,2018,5419
1170,F,47,1:30:20,2018,5420
1171,M,42,1:30:21,2018,5421
1172,F,30,1:30:27,2018,5427
1173,M,63,1:30:32,2018,5432
1174,M,58,1:30:37,2018,5437
1175,M,47,1:30:40,2018,5440
1176,F,41,1:30:40,2018,5440
1177,F,39,1:30:41,2018,5441
1178,F,24,1:30:43,2018,5443
1179,M,28,1:30:44,2018,5444
1180,M,65,1:30:47,2018,5447
1181,F,34,1:30:47,2018,5447
1182,F,32,1:30:53,2018,5453
1183,M,25,1:30:55,2018,5455
1184,F,36,1:30:55,2018,5455
1185,M,45,1:30:56,2018,5456
1186,F,35,1:30:57,2018,5457
1187,F,40,1:31:04,2018,5464
1188,F,32,1:31:15,2018,5475
1189,F,26,1:31:17,2018,5477
1190,F,28,1:31:24,2018,5484
1191,M,61,1:31:28,2018,5488
1192,F,25,1:31:32,2018,5492
1193,M,49,1:31:35,2018,5495
1194,M,67,1:31:45,2018,5505
1195,M,54,1:31:46,2018,5506
1196,M,34,1:32:06,2018,5526
1197,M,35,1:32:17,2018,5537
1198,M,35,1:32:20,2018,5540
1199,M,53,1:32:21,2018,5541
1200,F,17,1:32:21,2018,5541
1201,F,47,1:32:23,2018,5543
1202,M,58,1:33:02,2018,5582
1203,M,49,1:33:09,2018,5589
